provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,onderwijstype,latitude,longitude
Flevoland,De Keerkring,Meteorenstraat,104,8303 Bb,Emmeloord,0171,Noordoostpolder,0527698880,Basisonderwijs,52.70390419,5.73890338
Flevoland,De Zevensprong,Ellertsveld,15,8302 Jd,Emmeloord,0171,Noordoostpolder,0527788688,Basisonderwijs,52.71809682,5.74196241
Flevoland,Windkracht 10,Pampuspad,45,8304 Dr,Emmeloord,0171,Noordoostpolder,0527616674,Basisonderwijs,52.703387,5.7631393
Flevoland,De Regenboog,Sportweg,22,8307 An,Ens,0171,Noordoostpolder,0527251664,Basisonderwijs,52.63807555,5.82675418
Flevoland,S.W.S. De Floreant,Sportstraat,26,8315 Am,Luttelgeest,0171,Noordoostpolder,0527202306,Basisonderwijs,52.74269488,5.85011855
Flevoland,A.Z.S. De Wissel,Oosterringweg,41-B,8315 Ps,Luttelgeest,0171,Noordoostpolder,0527202006,Basisonderwijs,52.76344799,5.82050932
Flevoland,Sws De Sprang,Fazantendrift,4,8309 Am,Tollebeek,0171,Noordoostpolder,0527651497,Basisonderwijs,52.67749105,5.67449701
Flevoland,Kindcentrum Emmelhage,T Karel V Lohuizensngl,6-A,8302 Zh,Emmeloord,0171,Noordoostpolder,0527221026,Basisonderwijs,52.72479768,5.73796814
Flevoland,Christelijk Basisschool De Verbinding,Haagbeukweg,36-38,1326 Cr,Almere,0034,Almere,0365374061,Basisonderwijs,52.37415403,5.24401153
Flevoland,Gereformeerde Basisschool In De Lichtkring,Naarderweg,2,3891 Dk,Zeewolde,0050,Zeewolde,0365223265,Basisonderwijs,52.33336747,5.5301017
