provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Gelderland,Nederlands Hervormde Basisschool De Zaaier,Broekhuizenstraat,10,3784 WT,TERSCHUUR,0203,BARNEVELD,0342461667,primary,52.16530153,5.51743124
Gelderland,Veldhuizerschool,Kraatsweg,11,6712 DA,EDE,0228,EDE,0318615269,primary,52.04898169,5.65379652
Gelderland,Paasbergschool,Kleefsehoek,1-A,6711 SP,EDE,0228,EDE,0318616670,primary,52.04881949,5.67343976
Gelderland,Schimmelpenninck van de Oijeschool,Oosterdorpsstraat,16,3871 AD,HOEVELAKEN,0267,NIJKERK,0332535745,primary,52.17592078,5.46003733
Gelderland,Integraal Kindcentrum Juliana,Wethouder Rebellaan,142,3771 KA,BARNEVELD,0203,BARNEVELD,0342412165,primary,52.14974562,5.57998112
Gelderland,Basisschool Prins Willem Alexander,Van Schothorststraat,22,3772 AX,BARNEVELD,0203,BARNEVELD,0342415634,primary,52.13305752,5.58620386
Gelderland,Willem van Oranje School Hervormde School Basisonderwijs,Lange Voren,88,3773 AS,BARNEVELD,0203,BARNEVELD,0342490651,primary,52.13866696,5.60602217
Gelderland,IKC Amalia,Nederwoudseweg,23,3772 TD,BARNEVELD,0203,BARNEVELD,0342478243,primary,52.12475026,5.57742553
Gelderland,Basisschool Ariane,Tusolaan,6,3772 WP,BARNEVELD,0203,BARNEVELD,0342231279,primary,52.1286428,5.59937955
Gelderland,Protestants Christelijke Basisschool De Triangel,Beethovenstraat,20,6961 BE,EERBEEK,0213,BRUMMEN,0313651042,primary,52.10758829,6.05474608
Gelderland,Basisschool de Enk,H.A. Lorentzstraat,3,6961 XK,EERBEEK,0213,BRUMMEN,0313651796,primary,52.10262447,6.05651715
Gelderland,Christelijke Basisschool,Stationsweg,87,8166 KA,EMST,0232,EPE,0578661288,primary,52.31390384,5.98432405
Gelderland,Koningin Beatrixschool,Kosterijweg,7,3774 BG,KOOTWIJKERBROEK,0203,BARNEVELD,0342442000,primary,52.15231309,5.67069133
Gelderland,Christelijke Basisschool Prins Bernhard,Dr. H.C. Bosstraat,25,3886 KA,GARDEREN,0203,BARNEVELD,0577461355,primary,52.23481695,5.71495072
Gelderland,De Bron,Stroeerweg,76,3776 MK,STROE,0203,BARNEVELD,0342442250,primary,52.1848659,5.69215758
Gelderland,Christelijke Basisschool Het Mosterdzaadje,Oranjeweg,116,8166 JD,EMST,0232,EPE,0578661863,primary,52.3135524,5.89553881
Gelderland,CBS De Parel,Zuiderzeestraatweg,145,3849 AD,HIERDEN,0243,HARDERWIJK,0341451295,primary,52.3573546,5.676231
Gelderland,Basisschool het Baken,Vollenhovemeen,29,3844 NC,HARDERWIJK,0243,HARDERWIJK,0341416645,primary,52.33759929,5.60663457
Gelderland,PC BS De Schakel,Vondellaan,26,3842 EH,HARDERWIJK,0243,HARDERWIJK,0341416557,primary,52.34315628,5.63278659
Gelderland,Basisschool de Wegwijzer,Kennedylaan,1,3844 BA,HARDERWIJK,0243,HARDERWIJK,0341416780,primary,52.33517793,5.61754285
Gelderland,Basisschool De Brug,Piet Heinlaan,22,3843 EZ,HARDERWIJK,0243,HARDERWIJK,0341416576,primary,52.34009722,5.64133301
Gelderland,Christelijke Basisschool DOK 19,Flevoweg,73,3841 KK,HARDERWIJK,0243,HARDERWIJK,0341416622,primary,52.3536464,5.62941997
Gelderland,Basisschool de Rank,Bongerdsteeg,1,3841 CV,HARDERWIJK,0243,HARDERWIJK,0341416748,primary,52.35005051,5.61648199
Gelderland,Basisschool Willem Alexander,Veldkamp,33,3843 BG,HARDERWIJK,0243,HARDERWIJK,0341416770,primary,52.33107084,5.62645585
Gelderland,Christelijke basisschool  De Bron,Frankenskamp,4,3848 DE,HARDERWIJK,0243,HARDERWIJK,0341426704,primary,52.34882501,5.64814792
Gelderland,Basisschool de Triangel,Tonselsedreef,60,3845 CT,HARDERWIJK,0243,HARDERWIJK,0341433965,primary,52.3252555,5.59781052
Gelderland,C.B.S. Het Startblok,Biezenplein,2,3845 KA,HARDERWIJK,0243,HARDERWIJK,0341430921,primary,52.32615233,5.59005355
Gelderland,Basisschool Prinses Beatrix,Hoefslag,18,8077 SZ,HULSHORST,0302,NUNSPEET,0341451867,primary,52.36349062,5.73372211
Gelderland,Christelijke Basisschool Nederwoud,Kruisbeekweg,45,6741 NE,LUNTEREN,0228,EDE,0318482204,primary,52.08969553,5.57640721
Gelderland,De Bron,Postweg,7,6741 BA,LUNTEREN,0228,EDE,0318482526,primary,52.08593758,5.61731623
Gelderland,De Wegwijzer,Kerkhoflaan,27,6741 BN,LUNTEREN,0228,EDE,0318482122,primary,52.08059426,5.61956449
Gelderland,Christelijke Basisschool De Appelgaard,Barneveldseweg,182,3862 PD,NIJKERK,0267,NIJKERK,0342461632,primary,52.19522014,5.52711323
Gelderland,Basisschool De Horizon,Van Noortstraat,36,3864 EV,NIJKERKERVEEN,0267,NIJKERK,0332571623,primary,52.19604792,5.46680192
Gelderland,Rehobothschool,Brink,43-A,3861 VA,NIJKERK,0267,NIJKERK,0332451709,primary,52.22459456,5.47927479
Gelderland,Maranathaschool,Grieglaan,4,3862 GV,NIJKERK,0267,NIJKERK,0332451413,primary,52.21252241,5.48809326
Gelderland,Ichthusschool,Cornelis van Ramshorstln,3,3863 AZ,NIJKERK,0267,NIJKERK,0332462242,primary,52.21636878,5.46973189
Gelderland,De Hoeksteen,Zandoogje,1,3863 HS,NIJKERK,0267,NIJKERK,0332452824,primary,52.21099805,5.46215832
Gelderland,Protestants Christelijk Basisonderwijs De Wegwijzer,Groeneveltstraat,127,3882 XE,PUTTEN,0273,PUTTEN,0341353104,primary,52.25083958,5.60266036
Gelderland,Protestants Christelijk Basisschool De Pelikaan,Boekweitstraat,24,3882 GN,PUTTEN,0273,PUTTEN,0341357799,primary,52.25560633,5.59278144
Gelderland,Protestants Christelijk Basisonderwijs Hoef,Leembruggerweg,1,3882 RV,PUTTEN,0273,PUTTEN,0341351612,primary,52.25040666,5.54636444
Gelderland,Basisschool De Lichtbron,Vinkenweg,8,8191 XN,WAPENVELD,0246,HEERDE,0384478260,primary,52.42602221,6.07055558
Gelderland,cbs De Parel,Klapperdijk,35,8191 AC,WAPENVELD,0246,HEERDE,0384478205,primary,52.43222069,6.07573902
Gelderland,G J Van Den Brinkschool,Oude Eekmolenweg,30,6706 AP,WAGENINGEN,0289,WAGENINGEN,0317413395,primary,51.97016247,5.67242568
Groningen,De Clockeslach,Smederij,12,9541 AX,VLAGTWEDDE,1950,WESTERWOLDE,0599345688,primary,53.02510337,7.10825939
Groningen,Openbare Basisschool de Klimop,Ter Apelkanaal Oost,113-A,9563 RE,TER APELKANAAL,1950,WESTERWOLDE,0599416425,primary,52.91199828,7.05002875
Groningen,OBS De Vlinder,Jan Westerlaan,3,9561 GN,TER APEL,1950,WESTERWOLDE,0599583477,primary,52.87804571,7.06002531
Groningen,Basisschool op de Esch,Korteweg,2-B,9551 BM,SELLINGEN,1950,WESTERWOLDE,0599322548,primary,52.94421867,7.14976099
Groningen,Basisschool Plaggenborg,Wollinghuizerweg,27,9551 TG,SELLINGEN,1950,WESTERWOLDE,0599326300,primary,52.98000995,7.15281605
Groningen,Willem Lodewijck,Willem Lodewijkstraat,19,9545 PA,BOURTANGE,1950,WESTERWOLDE,0599354448,primary,53.00925209,7.18806471
Groningen,Streekschool De Wierde Gereformeerd Basisonderwijs,Aemckenheerd,2,9951 VZ,WINSUM GN,1966,HET HOGELAND,0595443326,primary,53.32588893,6.52581603
